"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=%20Felidae&cc=SOA,GT"
"Access Time","Wed 2017-02-22 13:14:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Felidae"
"","cc","SOA,GT"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0511"
"Records Found","98"
"Records Returned","98"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"662148","occ","","","71335","Herpailurus yagouaroundi","species","46888","recombined as","Puma yagouaroundi","species","46533","Late Pleistocene","","0.126","0.0117","24109"
"662171","occ","","","71338","Felis listai","species","41055","species not entered","Felis","genus","41055","Late Pleistocene","","0.126","0.0117","24013"
"662179","occ","","","71341","Felis listai","species","41055","species not entered","Felis","genus","41055","Late Pleistocene","","0.126","0.0117","24013"
"662197","occ","","","71344","Felis listai","species","41055","species not entered","Felis","genus","41055","Late Pleistocene","","0.126","0.0117","24013"
"662252","occ","21914","","71346","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","2195"
"662253","occ","21912","","71346","Smilodon fatalis","species","51613","","Smilodon fatalis","species","46515","Late Pleistocene","","0.126","0.0117","2195"
"662313","occ","","","71349","Puma sp.","genus","41073","","Puma","genus","41073","Holocene","","0.0117","0","24088"
"664465","occ","","","71587","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","19694"
"685624","occ","","","71341","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","24751"
"685646","occ","","","73845","Felis concolor","species","46513","recombined as","Puma concolor","species","46513","Late Pleistocene","","0.126","0.0117","24073"
