Species	Status	min_age	max_age
Caracara_creightoni	extinct	0	0.0117
Columba	extant	0	0.0117
Zenaida	extant	0	0.0117
Tyto	extant	0	0.0117
Passeriformes	extant	0	0.0117
Puffinus_lherminieri	extant	0	0.0117
Nyctanassa_violacea	extant	0	0.0117
Eudocimus	extant	0	0.0117
Pandion	extant	0	0.0117
Accipiter	extant	0	0.0117
Falco_sparverius	extant	0	0.0117
Rallus	extant	0	0.0117
Columba	extant	0	0.0117
Zenaida	extant	0	0.0117
Tyto	extant	0	0.0117
Athene	extant	0	0.0117
Colaptes	extant	0	0.0117
Contopus	extant	0	0.0117
Petrochelidon	extant	0	0.0117
Spizella	extant	0	0.0117
Sturnella	extant	0	0.0117
Passeriformes	extant	0	0.0117
Psilopteridae	extinct	11.608	15.97
Chunga	extinct	4	6.8
Chunga	extinct	4	6.8
Mesembriornis_milneedwardsi	extinct	3.6	5.333
Chunga	extinct	3.6	5.333
Mesembriornis_milneedwardsi	extinct	3.6	5.333
Falco	extinct	0.0117	2.588
Caracara_plancus	extinct	0.0117	2.588
Milvago	extinct	0.0117	2.588
Buteo	extinct	0.0117	2.588
Buteo	extinct	0.0117	2.588
Circus	extinct	0.0117	2.588
Zenaida	extant	0.0117	2.588
Columbina	extinct	0.0117	2.588
Speotyto_cunicularia	extinct	0.0117	2.588
Nycticorax	extinct	0.0117	2.588
Geranoaetus	extinct	0.0117	2.588
Falco	extinct	0.0117	2.588
Zenaida	extant	0.0117	2.588
Tyto_alba	extinct	0.0117	2.588
Syrigma_sanctimartini	extinct	0.0117	0.126
Theristicus_wetmorei	extinct	0.0117	0.126
Eudocimus_peruvianus	extinct	0.0117	0.126
Milvago_brodkorbi	extinct	0.0117	0.126
Caprimulgus_piurensis	extinct	0.0117	0.126
Miraquila_terrestris	extinct	0.0117	0.126
Amplibuteo_hibbardi	extinct	0.0117	0.126
Podiceps	extinct	0.0117	0.126
Podilymbus_podiceps	extinct	0.0117	0.126
Phalacrocorax	extant	0.0117	0.126
Phalacrocorax_bougainvillii	extinct	0.0117	0.126
Ardea	extinct	0.0117	0.126
Egretta	extinct	0.0117	0.126
Egretta	extinct	0.0117	0.126
Nycticorax	extinct	0.0117	0.126
Eudocimus	extant	0.0117	0.126
Ajaia	extinct	0.0117	0.126
Jabiru_mycteria	extinct	0.0117	0.126
Mycteria	extinct	0.0117	0.126
Geranoaetus	extinct	0.0117	0.126
Buteo	extinct	0.0117	0.126
Buteo	extinct	0.0117	0.126
Falco	extinct	0.0117	0.126
Falco	extinct	0.0117	0.126
Falco_sparverius	extant	0.0117	0.126
Falco	extinct	0.0117	0.126
Caracara_plancus	extinct	0.0117	0.126
Porzana	extinct	0.0117	0.126
Zenaida	extant	0.0117	0.126
Zenaida	extant	0.0117	0.126
Columbina	extinct	0.0117	0.126
Columbina	extinct	0.0117	0.126
