"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","environment","tectonic_setting","geology_comments"
"545039","occ","","","13079","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","15398","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.719719","-15.580833","PE","","","stated in text","seconds","local area","Sud-Sacaco, southern coast of Peru, 550 km south of Lima, approximately km 543 of the Pan-American Highway (de Muizon, 1981).\r\n\r\nCoordinates of Sud-Sacaco from Olivier et al 2013\r\n\r\nThough originally thought to date to the Early Pliocene [74], recent work assigned Sud-Sacaco to the Late Miocene (7.1–5.9 Ma, Messinian) based on 87Sr/86Sr dating [167]. (Marx & Fordyce, 2015)","gp_mid","-73.17","-15.20","201","Pisco","","","bed","","","","","","","","See Muizon and de Vries (1985). Basal most Pliocene. A tuff layer from the Sacaco level, above the Sud-Sacaco level, has been dated radiometrically (K/Ar) to 3.9 Myr (de Muizon & Bellon, 1980, 1986). Ehret et al (2012) updated the age to Messinian (5.93 Sr isotopes) rather than Zanclean.","foreshore","","SAS (Montemar) horizon. Shore environment with beaches and reefs exposed to marine currents. High sedimentation rate, shallow-to-deep shelf, upwelling"
"545041","occ","","","13079","Procellariidae","family","39695","Messinian","","7.246","5.333","15398","Chordata","Aves","Procellariiformes","Procellariidae","","","","-74.719719","-15.580833","PE","","","stated in text","seconds","local area","Sud-Sacaco, southern coast of Peru, 550 km south of Lima, approximately km 543 of the Pan-American Highway (de Muizon, 1981).\r\n\r\nCoordinates of Sud-Sacaco from Olivier et al 2013\r\n\r\nThough originally thought to date to the Early Pliocene [74], recent work assigned Sud-Sacaco to the Late Miocene (7.1–5.9 Ma, Messinian) based on 87Sr/86Sr dating [167]. (Marx & Fordyce, 2015)","gp_mid","-73.17","-15.20","201","Pisco","","","bed","","","","","","","","See Muizon and de Vries (1985). Basal most Pliocene. A tuff layer from the Sacaco level, above the Sud-Sacaco level, has been dated radiometrically (K/Ar) to 3.9 Myr (de Muizon & Bellon, 1980, 1986). Ehret et al (2012) updated the age to Messinian (5.93 Sr isotopes) rather than Zanclean.","foreshore","","SAS (Montemar) horizon. Shore environment with beaches and reefs exposed to marine currents. High sedimentation rate, shallow-to-deep shelf, upwelling"
"565286","occ","","","45487","Sula","genus","36639","Serravallian","","13.82","11.62","16797","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-75.671387","-14.558056","PE","Ica","Ocucaje","estimated from map","seconds","local area","Coordinates from Bianucci et al. 2010.\r\nFrom Baez 2006: Los afloramientos del C° La Bruja y el C° El Brujito, pertenecen a la Formación Pisco el cual aflora en la localidad de Ocucaje y se encuentra, dentro de la Cuenca de Antearco del mismo nombre ubicada en la parte Sur-Central del Perú en la margen Activa Continental Peruana","gp_mid","-72.59","-13.75","201","Pisco","","","bed","","","","","","","","CLB horizon, near Ica, Peru.","offshore shelf",""," There is a high sedimentation rate, with shallow-to-deep shelf, and upwelling."
"565300","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","16797","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-72.66","-14.86","201","Pisco","","","bed","","Pisco","ELJ","no particular order","","","","9.95-7.5 Ma (Muizon and Bellon 1986: 39394); 9-9.5 Ma (Stucchi & Urbina, 2004); older than 8.8 (Ehret et al 2012)","shoreface","","EJL horizon. There is a high sedimentation rate, with shallow-to-deep shelf, and upwelling."
"565301","occ","","","45486","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-72.66","-14.86","201","Pisco","","","bed","","Pisco","ELJ","no particular order","","","","9.95-7.5 Ma (Muizon and Bellon 1986: 39394); 9-9.5 Ma (Stucchi & Urbina, 2004); older than 8.8 (Ehret et al 2012)","shoreface","","EJL horizon. There is a high sedimentation rate, with shallow-to-deep shelf, and upwelling."
"565313","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","16797","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-74.781944","-15.482778","PE","","","estimated from map","seconds","local area","Coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-72.57","-14.90","201","Pisco","","","bed","","Pisco","AGL","no particular order","","","","7-8.8 Ma (Stucchi & Urbina, 2004), Huayquerian, ca. 8 Ma (Muizon & DeVries, 1985), between 7.3 and 7.46 (Ehret et al 2012).\r\n\r\nThe Pisco Formation at Agua de Lomas has been dated to 8.0–7.0 Ma based on K-Ar dating [74, 75]. (Marx & Fordyce, 2015).","foreshore","","AGL horizon, shore environment containing protected beaches and reefs. The protected beaches and reefs are exposed to marine currents. There is a high sedimentation rate, with a shallow-to-deep shelf and upwelling."
"565314","occ","","","45485","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.781944","-15.482778","PE","","","estimated from map","seconds","local area","Coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-72.57","-14.90","201","Pisco","","","bed","","Pisco","AGL","no particular order","","","","7-8.8 Ma (Stucchi & Urbina, 2004), Huayquerian, ca. 8 Ma (Muizon & DeVries, 1985), between 7.3 and 7.46 (Ehret et al 2012).\r\n\r\nThe Pisco Formation at Agua de Lomas has been dated to 8.0–7.0 Ma based on K-Ar dating [74, 75]. (Marx & Fordyce, 2015).","foreshore","","AGL horizon, shore environment containing protected beaches and reefs. The protected beaches and reefs are exposed to marine currents. There is a high sedimentation rate, with a shallow-to-deep shelf and upwelling."
"565326","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","16797","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-74.746391","-15.576944","PE","","","estimated from map","seconds","","coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-73.20","-15.20","201","Pisco","","","group of beds","","Pisco","MTM","no particular order","","","","4.5-6 Ma (Stucchi & Urbina, 2004); 7.3 - 7.0 Ma (Ehret et al 2012)","paralic indet.","","""a littoral paleoenviroment with protected beaches and reefs exposed to marine sediments"" (Stucchi and Emslie 2005), high sedimentation rate, shallow-to-deep shelf, upwelling"
"565327","occ","","","46084","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.746391","-15.576944","PE","","","estimated from map","seconds","","coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-73.20","-15.20","201","Pisco","","","group of beds","","Pisco","MTM","no particular order","","","","4.5-6 Ma (Stucchi & Urbina, 2004); 7.3 - 7.0 Ma (Ehret et al 2012)","paralic indet.","","""a littoral paleoenviroment with protected beaches and reefs exposed to marine sediments"" (Stucchi and Emslie 2005), high sedimentation rate, shallow-to-deep shelf, upwelling"
"565350","occ","","","46083","Sula","genus","36639","Messinian","","7.246","5.333","16797","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-73.14","-15.18","201","Pisco","","","group of beds","","Pisco","SAO","no particular order","","","","Muizon and Bellon (1986: 39394) suggest this is about 3.9 Ma: early late Pliocene according to Muizon et al 2004 (28320). Greater than 5.75 Ma (Ehret et al 2012)","paralic indet.","","""a littoral paleoenviroment with protected beaches and reefs exposed to marine sediments"" (Stucchi and Emslie 2005), high sedimentation rate, shallow-to-deep shelf, upwelling"
"565351","occ","","","46083","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-73.14","-15.18","201","Pisco","","","group of beds","","Pisco","SAO","no particular order","","","","Muizon and Bellon (1986: 39394) suggest this is about 3.9 Ma: early late Pliocene according to Muizon et al 2004 (28320). Greater than 5.75 Ma (Ehret et al 2012)","paralic indet.","","""a littoral paleoenviroment with protected beaches and reefs exposed to marine sediments"" (Stucchi and Emslie 2005), high sedimentation rate, shallow-to-deep shelf, upwelling"
"565352","occ","","","46083","Procellariidae","family","39695","Messinian","","7.246","5.333","16797","Chordata","Aves","Procellariiformes","Procellariidae","","","","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)","gp_mid","-73.14","-15.18","201","Pisco","","","group of beds","","Pisco","SAO","no particular order","","","","Muizon and Bellon (1986: 39394) suggest this is about 3.9 Ma: early late Pliocene according to Muizon et al 2004 (28320). Greater than 5.75 Ma (Ehret et al 2012)","paralic indet.","","""a littoral paleoenviroment with protected beaches and reefs exposed to marine sediments"" (Stucchi and Emslie 2005), high sedimentation rate, shallow-to-deep shelf, upwelling"
"571567","occ","","","59940","Phorusrhacidae","family","39461","Late Oligocene","Early Miocene","28.4","15.97","17215","Chordata","Aves","Gruiformes","Phorusrhacidae","","","","-71.010002","-17.209999","PE","Moquegua","","stated in text","seconds","","","gp_mid","-65.34","-16.65","201","Upper Moquegua","","","","","","","","","","","","terrestrial indet.","",""
"576195","occ","","","60620","Diomedeidae","family","39692","Chasicoan","","10","9","7495","Chordata","Aves","Procellariiformes","Diomedeidae","","","","-64.333336","-42.933334","AR","Chubut","","based on nearby landmark","minutes","","Punta Ninfas, on the south side of the entrance of Golfo Nuevo, opposite Peninsula Valdéz, Chubut Province, Argentina.","gp_mid","-63.01","-42.48","291","","","","bed","","","","","","","","Early Late Miocene, Rionegrese age, 50 m above the present base of the cliff. ""A volcanic tuff near the top of the Rionegrese horizon at the site of collection of the fossil is the source of the only radioisotopic age determination yet obtained for any of the Rionegrese beds. The mean of three glass concentrates from this tuff dated by the 40K-40Ar method was 9.41 Million years, which correlates with the late Miocene Tortonian marine stage in Europe and the Chasicoan Land Mammal Age in South America.""","marine indet.","",""
"598062","occ","","","63335","Porphyrula","genus","83793","Middle Pleistocene","","0.781","0.126","17632","Chordata","Aves","Ralliformes","Rallidae","Porphyrula","","","-61.766666","-38.500000","AR","Buenos Aires","","estimated from map","seconds","outcrop","near the bridge of route 51 over the Sauce Grande River","gp_mid","-61.77","-38.50","202","","","","","","","","","","","","assigned to the ""San José Sequence;"" proposed to be Bonaerian SALMA in age","terrestrial indet.","",""
"598063","occ","","","63335","Motacillinae","subfamily","83785","Middle Pleistocene","","0.781","0.126","17632","Chordata","Aves","Passeriformes","Passeridae","","","","-61.766666","-38.500000","AR","Buenos Aires","","estimated from map","seconds","outcrop","near the bridge of route 51 over the Sauce Grande River","gp_mid","-61.77","-38.50","202","","","","","","","","","","","","assigned to the ""San José Sequence;"" proposed to be Bonaerian SALMA in age","terrestrial indet.","",""
"617915","occ","","","13079","Ramphastosula ramirezi","species","87503","Messinian","","7.246","5.333","18990","Chordata","Aves","Pelecaniformes","Sulidae","Ramphastosula","5","specimens","-74.719719","-15.580833","PE","","","stated in text","seconds","local area","Sud-Sacaco, southern coast of Peru, 550 km south of Lima, approximately km 543 of the Pan-American Highway (de Muizon, 1981).\r\n\r\nCoordinates of Sud-Sacaco from Olivier et al 2013\r\n\r\nThough originally thought to date to the Early Pliocene [74], recent work assigned Sud-Sacaco to the Late Miocene (7.1–5.9 Ma, Messinian) based on 87Sr/86Sr dating [167]. (Marx & Fordyce, 2015)","gp_mid","-73.17","-15.20","201","Pisco","","","bed","","","","","","","","See Muizon and de Vries (1985). Basal most Pliocene. A tuff layer from the Sacaco level, above the Sud-Sacaco level, has been dated radiometrically (K/Ar) to 3.9 Myr (de Muizon & Bellon, 1980, 1986). Ehret et al (2012) updated the age to Messinian (5.93 Sr isotopes) rather than Zanclean.","foreshore","","SAS (Montemar) horizon. Shore environment with beaches and reefs exposed to marine currents. High sedimentation rate, shallow-to-deep shelf, upwelling"
