Eutreptodactylus,Eutreptodactylus itaboraiensis,53.650000000000006,53.650000000000006
Milvago,Milvago,1.29985,3.0940000000000003
Rallus,Rallus recessus,0.06885,0.06885
Anisolornis,Anisolornis,13.789000000000001,13.789000000000001
Colaptes,Colaptes,0.00585,0.3965
Palaeociconia,Palaeociconia australis,5.4,5.4
Kelenken,Kelenken guillermoi,14.65,14.65
Taubatornis,Taubatornis campbelli,22.185,22.185
Columba,Columba,0.00585,1.29985
Fulmarus,Fulmarus glacialis,0.00585,0.00585
Coccyzus,Coccyzus,0.00585,0.00585
Geranoaetus,Geranoaetus,0.06885,1.29985
Caracara,Caracara plancus,0.06885,1.29985
Cariaminae,Cariaminae,16.9,16.9
Rallus,Rallus longirostris,0.00585,0.00585
Andalgalornis,Andalgalornis,7.9,7.9
Accipitridae,Accipitridae,10.6515,10.6515
Fulica,Fulica podagrica,0.063,0.063
Tyto,Tyto alba,0.06885,1.29985
Ardeidae,Ardeidae,41.25,41.25
Phalacrocorax,Phalacrocorax,0.00585,9.433
Pterodroma,Pterodroma cahow,0.00585,0.00585
Caracara,Caracara creightoni,0.00585,1.29985
Psilopterus,Psilopterus lemoinei,13.789000000000001,19.5
